date,value
00:00:00,0.3
00:05:00,0.3
00:10:00,0.3
00:15:00,0.3
00:20:00,0.3
00:25:00,0.3
00:30:00,0.3
00:35:00,0.3
00:40:00,0.3
00:45:00,0.3
00:50:00,0.3
00:55:00,0.3
01:00:00,0.3
01:05:00,0.3
01:10:00,0.3
01:15:00,0.3
01:20:00,0.3
01:25:00,0.3
01:30:00,0.3
01:35:00,0.3
01:40:00,0.3
01:45:00,0.3
01:50:00,0.3
01:55:00,0.3
02:00:00,0.3
02:05:00,0.3
02:10:00,0.3
02:15:00,0.3
02:20:00,0.3
02:25:00,0.3
02:30:00,0.3
02:35:00,0.3
02:40:00,0.3
02:45:00,0.3
02:50:00,0.3
02:55:00,0.3
03:00:00,0.3
03:05:00,0.3
03:10:00,0.3
03:15:00,0.3
03:20:00,0.3
03:25:00,0.3
03:30:00,0.3
03:35:00,0.3
03:40:00,0.3
03:45:00,0.3
03:50:00,0.3
03:55:00,0.3
04:00:00,0.3
04:05:00,0.3
04:10:00,0.3
04:15:00,0.3
04:20:00,0.3
04:25:00,0.3
04:30:00,0.3
04:35:00,0.3
04:40:00,0.3
04:45:00,0.3
04:50:00,0.3
04:55:00,0.3
05:00:00,0.3
05:05:00,0.3
05:10:00,0.3
05:15:00,0.3
05:20:00,0.4
05:25:00,0.4
05:30:00,0.4
05:35:00,0.4
05:40:00,0.4
05:45:00,0.4
05:50:00,0.4
05:55:00,0.4
06:00:00,0.4
06:05:00,0.4
06:10:00,0.5
06:15:00,0.5
06:20:00,0.5
06:25:00,0.5
06:30:00,0.5
06:35:00,0.5
06:40:00,0.5
06:45:00,0.5
06:50:00,0.5
06:55:00,0.5
07:00:00,0.5
07:05:00,0.6
07:10:00,0.6
07:15:00,0.6
07:20:00,0.6
07:25:00,0.6
07:30:00,0.6
07:35:00,0.6
07:40:00,0.6
07:45:00,0.6
07:50:00,0.6
07:55:00,0.6
08:00:00,0.7
08:05:00,0.7
08:10:00,0.7
08:15:00,0.7
08:20:00,0.7
08:25:00,0.7
08:30:00,0.7
08:35:00,0.7
08:40:00,0.7
08:45:00,0.7
08:50:00,0.7
08:55:00,0.7
09:00:00,0.7
09:05:00,0.7
09:10:00,0.7
09:15:00,0.7
09:20:00,0.7
09:25:00,0.7
09:30:00,0.7
09:35:00,0.8
09:40:00,0.8
09:45:00,0.8
09:50:00,0.8
09:55:00,0.8
10:00:00,0.8
10:05:00,0.8
10:10:00,0.8
10:15:00,0.8
10:20:00,0.8
10:25:00,0.8
10:30:00,0.8
10:35:00,0.8
10:40:00,0.8
10:45:00,0.8
10:50:00,0.8
10:55:00,0.8
11:00:00,0.8
11:05:00,0.8
11:10:00,0.8
11:15:00,0.8
11:20:00,0.8
11:25:00,0.8
11:30:00,0.8
11:35:00,0.8
11:40:00,0.8
11:45:00,0.8
11:50:00,0.8
11:55:00,0.8
12:00:00,0.8
12:05:00,0.8
12:10:00,0.8
12:15:00,0.9
12:20:00,0.9
12:25:00,0.9
12:30:00,0.9
12:35:00,0.9
12:40:00,0.9
12:45:00,0.9
12:50:00,0.9
12:55:00,0.9
13:00:00,0.9
13:05:00,0.9
13:10:00,0.9
13:15:00,0.9
13:20:00,0.9
13:25:00,0.9
13:30:00,0.9
13:35:00,0.9
13:40:00,0.9
13:45:00,0.9
13:50:00,0.9
13:55:00,0.9
14:00:00,0.9
14:05:00,0.9
14:10:00,0.9
14:15:00,0.8
14:20:00,0.8
14:25:00,0.8
