date,value
00:00:00,0
00:05:00,0
00:10:00,0
00:15:00,0
00:20:00,0
00:25:00,0
00:30:00,0
00:35:00,0
00:40:00,0
00:45:00,0
00:50:00,0
00:55:00,0
01:00:00,0
01:05:00,0
01:10:00,0
01:15:00,0
01:20:00,0
01:25:00,0
01:30:00,0
01:35:00,0
01:40:00,0
01:45:00,0
01:50:00,0
01:55:00,0
02:00:00,0
02:05:00,0
02:10:00,0
02:15:00,0
02:20:00,0
02:25:00,0
02:30:00,0
02:35:00,0
02:40:00,0
02:45:00,0
02:50:00,0
02:55:00,0
03:00:00,0
03:05:00,0
03:10:00,0
03:15:00,0
03:20:00,0
03:25:00,0
03:30:00,0
03:35:00,0
03:40:00,0
03:45:00,0
03:50:00,0
03:55:00,0
04:00:00,0
04:05:00,0
04:10:00,0
04:15:00,0
04:20:00,0
04:25:00,0
04:30:00,0
04:35:00,0
04:40:00,0
04:45:00,0
04:50:00,0
04:55:00,0
05:00:00,0
05:05:00,0
05:10:00,0
05:15:00,0
05:20:00,0
05:25:00,0
05:30:00,0
05:35:00,0
05:40:00,0
05:45:00,0
05:50:00,0.099
05:55:00,0.199
06:00:00,0.399
06:05:00,0.799
06:10:00,1.199
06:15:00,1.5
06:20:00,1.899
06:25:00,2.299
06:30:00,2.799
06:35:00,3.199
06:40:00,3.699
06:45:00,4.199
06:50:00,4.699
06:55:00,5.199
07:00:00,5.699
07:05:00,6.199
07:10:00,6.699
07:15:00,7.199
07:20:00,7.699
07:25:00,8.199
07:30:00,8.699
07:35:00,9.199
07:40:00,9.699
07:45:00,10.199
07:50:00,10.899
07:55:00,10.299
08:00:00,12.699
08:05:00,12.199
08:10:00,13.099
08:15:00,13.299
08:20:00,13.899
08:25:00,14.299
08:30:00,14.199
08:35:00,15.799
08:40:00,15.899
08:45:00,15.699
08:50:00,5
08:55:00,19.299
09:00:00,18.299
09:05:00,20.299
09:10:00,20.899
09:15:00,6.299
09:20:00,4.699
09:25:00,22.399
09:30:00,20.5
09:35:00,20
09:40:00,20.199
09:45:00,19.599
09:50:00,19.399
09:55:00,19.699
10:00:00,20.299
10:05:00,20.599
10:10:00,21
10:15:00,22.699
10:20:00,12.699
10:25:00,5
10:30:00,23.399
10:35:00,24.099
10:40:00,21.699
10:45:00,22.5
10:50:00,22.899
10:55:00,22
11:00:00,22.899
11:05:00,22.5
11:10:00,22.5
11:15:00,22.199
11:20:00,22.699
11:25:00,23.199
11:30:00,23.799
11:35:00,22.599
11:40:00,23
11:45:00,22.899
11:50:00,11.799
11:55:00,25.099
12:00:00,23.5
12:05:00,22.899
12:10:00,5.599
12:15:00,5.699
12:20:00,9.099
12:25:00,23.599
12:30:00,24.899
12:35:00,22.799
12:40:00,22.799
12:45:00,23
12:50:00,23.699
12:55:00,23.399
13:00:00,22.199
13:05:00,21.899
13:10:00,22.599
13:15:00,23.199
13:20:00,21.699
13:25:00,21.699
13:30:00,22
13:35:00,21.899
13:40:00,22.799
13:45:00,21.099
13:50:00,21.199
13:55:00,20.299
14:00:00,19.699
14:05:00,20.299
14:10:00,19.899
14:15:00,4.199
14:20:00,19.199
14:25:00,19.399
14:30:00,18.199
14:35:00,18
14:40:00,19.099
14:45:00,17.599
14:50:00,16.5
14:55:00,15.899
15:00:00,16.299
15:05:00,15.299
15:10:00,14.799
15:15:00,14.299
15:20:00,14.199
15:25:00,14.199
15:30:00,13.199
15:35:00,12.699
15:40:00,12.299
15:45:00,11.699
15:50:00,11.399
15:55:00,10.899
16:00:00,10.5
16:05:00,10
16:10:00,9.5
16:15:00,9.699
16:20:00,9.099
16:25:00,8.5
16:30:00,7.399
16:35:00,7.099
16:40:00,7
16:45:00,6
16:50:00,1.399
16:55:00,4.799
17:00:00,4.299
17:05:00,3.799
17:10:00,3.299
17:15:00,2.899
17:20:00,2.599
17:25:00,2.299
17:30:00,2.099
17:35:00,1.699
17:40:00,1.099
17:45:00,1
17:50:00,0.399
17:55:00,0.199
18:00:00,0.099
18:05:00,0
18:10:00,0
18:15:00,0
18:20:00,0
18:25:00,0
18:30:00,0
18:35:00,0
18:40:00,0
18:45:00,0
18:50:00,0
18:55:00,0
19:00:00,0
19:05:00,0
19:10:00,0
19:15:00,0
19:20:00,0
19:25:00,0
19:30:00,0
19:35:00,0
19:40:00,0
19:45:00,0
19:50:00,0
19:55:00,0
20:00:00,0
20:05:00,0
20:10:00,0
20:15:00,0
20:20:00,0
20:25:00,0
20:30:00,0
20:35:00,0
20:40:00,0
20:45:00,0
20:50:00,0
20:55:00,0
21:00:00,0
21:05:00,0
21:10:00,0
21:15:00,0
21:20:00,0
21:25:00,0
21:30:00,0
21:35:00,0
21:40:00,0
21:45:00,0
21:50:00,0
21:55:00,0
22:00:00,0
22:05:00,0
22:10:00,0
22:15:00,0
22:20:00,0
22:25:00,0
22:30:00,0
22:35:00,0
22:40:00,0
22:45:00,0
22:50:00,0
22:55:00,0
23:00:00,0
23:05:00,0
23:10:00,0
23:15:00,0
23:20:00,0
23:25:00,0
23:30:00,0
23:35:00,0
23:40:00,0
23:45:00,0
23:50:00,0
23:55:00,0
